"","internal.gene_id","Chr","Start","End","Strand","Length","vectorbase.RU","flybase.fbpp.collapsed","flybase.fbgn.collapsed","flybase.annot.collapsed","flybase.gene.collapsed","orthodb.collapsed","display.name","gene.family","gene.family.specific"
"gene11873","gene11873","supercont1.16;supercont1.16;supercont1.16;supercont1.16","847931;848329;848660;848976","848263;848606;848916;849937","-;-;-;-",1830,"AAEL000760",NA,NA,NA,NA,NA,"","",""
"gene11874","gene11874","supercont1.957;supercont1.957;supercont1.957;supercont1.957;supercont1.957;supercont1.957;supercont1.957","37517;38507;46206;46565;46817;57945;72270","38441;38604;46509;46756;46924;58215;72954","+;+;+;+;+;+;+",2583,"AAEL013902","FBpp0072162","FBgn0021875","CG3260","Zfrp8","EOG8ZGS4D","","",""
"gene11875","gene11875","supercont1.957;supercont1.957;supercont1.957;supercont1.957;supercont1.957;supercont1.957;supercont1.957","7423;7806;8808;10191;10538;30324;30535","7729;8550;10124;10334;10642;30475;30929","+;+;+;+;+;+;+",3165,"AAEL013903","FBpp0074544","FBgn0026430","CG3917","Grip84","EOG8FTZQP","","",""
"gene11876","gene11876","supercont1.957;supercont1.957","58120;72956","59116;74089","-;-",2131,"AAEL013904","FBpp0085821","FBgn0034390","CG15093","CG15093","EOG8R52TX","","",""
"gene11877","gene11877","supercont1.957;supercont1.957;supercont1.957;supercont1.957;supercont1.957","30828;31131;31565;33897;37541","31075;31498;31772;34960;38485","-;-;-;-;-",2833,"AAEL013901",NA,NA,NA,NA,NA,"","",""
"gene11878","gene11878","supercont1.1330;supercont1.1330;supercont1.1330;supercont1.1330;supercont1.1330;supercont1.1330;supercont1.1330;supercont1.1330","48535;49533;54480;54726;54964;55602;55758;71136","49473;49692;54663;54903;55540;55689;56202;71210","-;-;-;-;-;-;-;-",2646,"AAEL014901","FBpp0110554","FBgn0039994","CG17082","conu","EOG8RV5GX","","",""
"gene11879","gene11879","supercont1.1330;supercont1.1330;supercont1.1330;supercont1.1330","36035;36810;37588;39148","36747;37427;38595;39183","-;-;-;-",2375,"AAEL014899","FBpp0070533","FBgn0029648","CG3603","CG3603","EOG8MPMGJ","","",""
"gene1188","gene1188","supercont1.745;supercont1.745;supercont1.745;supercont1.745;supercont1.745","470041;471487;477131;478121;483572","470486;472119;477361;478260;484430","+;+;+;+;+",2309,"AAEL012822","FBpp0300160","FBgn0051076","CG31076","CG31076","EOG869TM2","","",""
"gene11880","gene11880","supercont1.1330;supercont1.1330;supercont1.1330;supercont1.1330;supercont1.1330;supercont1.1330;supercont1.1330;supercont1.1330;supercont1.1330;supercont1.1330;supercont1.1330;supercont1.1330","6942;9137;9342;9539;12558;14153;18986;19166;23597;24203;25592;26380","9069;9281;9465;9689;14090;14242;19107;20492;24141;24477;26321;27117","+;+;+;+;+;+;+;+;+;+;+;+",7908,"AAEL014900","FBpp0110174","FBgn0045035","CG6535","tefu","EOG80VZDP","","",""
"gene11881","gene11881","supercont1.1190;supercont1.1190;supercont1.1190;supercont1.1190;supercont1.1190","114382;127432;132810;148051;152866","115639;127522;134265;148701;160140","+;+;+;+;+",10731,"AAEL014622","FBpp0080692","FBgn0032748","CG10492","CG10492","EOG873SH2","","",""
"gene11882","gene11882","supercont1.1190;supercont1.1190;supercont1.1190;supercont1.1190","106075;106576;106928;107463","106131;106869;107407;107471","-;-;-;-",840,"AAEL014621",NA,NA,NA,NA,NA,"","",""
"gene11883","gene11883","supercont1.727","186043","187293","+",1251,"AAEL012715","FBpp0073716","FBgn0030545","CG11590","CG11590","EOG80S37S","","",""
"gene11884","gene11884","supercont1.727;supercont1.727;supercont1.727","127146;140093;140741","127529;140680;141373","+;+;+",1605,"AAEL012712",NA,NA,NA,NA,NA,"","",""
"gene11885","gene11885","supercont1.727;supercont1.727;supercont1.727;supercont1.727","384181;423930;494330;506341","385351;424934;495114;518019","+;+;+;+",14640,"AAEL012708","FBpp0088160","FBgn0039920","CG11360","CG11360","EOG8962J5","","",""
"gene11886","gene11886","supercont1.727;supercont1.727;supercont1.727","435;6153;35029","6094;6381;35142","-;-;-",6003,"AAEL012707","FBpp0072486","FBgn0052479","CG32479","Usp10","EOG8WWV8X","","",""
"gene11887","gene11887","supercont1.727;supercont1.727;supercont1.727;supercont1.727;supercont1.727","165517;166170;176484;177329;177589","166041;166397;177262;177519;178422","+;+;+;+;+",2557,"AAEL012705","FBpp0082056-FBpp0076230","FBgn0038039-FBgn0035970","CG5196-CG4483","CG5196-CG4483","EOG8DNHW8-EOG8DNHW8","","",""
"gene11888","gene11888","supercont1.727","178062","178412","-",351,"AAEL012706",NA,NA,NA,NA,NA,"","",""
"gene11889","gene11889","supercont1.727;supercont1.727;supercont1.727;supercont1.727","535655;545905;546994;559965","537580;546403;547731;560885","-;-;-;-",4084,"AAEL017254",NA,NA,NA,NA,NA,"","",""
"gene1189","gene1189","supercont1.745;supercont1.745;supercont1.745","416469;422240;442913","416483;422608;445841","+;+;+",3313,"AAEL012827","FBpp0084623","FBgn0039562","CG5520","Gp93","EOG8GQSWD","","",""
"gene11890","gene11890","supercont1.727;supercont1.727;supercont1.727;supercont1.727","140979;142597;151298;164439","142471;143231;151924;164990","-;-;-;-",3307,"AAEL012709","FBpp0077004","FBgn0031119","CG1812","CG1812","EOG8DNHW1","","",""
"gene11891","gene11891","supercont1.727;supercont1.727;supercont1.727","35777;39189;65455","39123;39312;66108","-;-;-",4125,"AAEL012711","FBpp0082184","FBgn0003450","CG7996","snk","EOG89368V","","",""
"gene11892","gene11892","supercont1.727","194641","195972","-",1332,"AAEL012710","FBpp0073716","FBgn0030545","CG11590","CG11590","EOG80S37S","","",""
"gene11893","gene11893","supercont1.727;supercont1.727;supercont1.727","112026;112875;114021","112850;113955;115080","-;-;-",2966,"AAEL012713","FBpp0082184","FBgn0003450","CG7996","snk","EOG89368V","","",""
"gene11894","gene11894","supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844","254420;254894;255397;255508;296674","254450;255110;255454;255625;298654","+;+;+;+;+",2405,"AAEL013425","FBpp0087343","FBgn0033554","CG12938","Lsm10","EOG81RSN5","","",""
"gene11895","gene11895","supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844","3894;4251;4629;4995;5105;10700;80590","4196;4574;4932;5034;5513;10732;81280","-;-;-;-;-;-;-",2104,"AAEL013429",NA,NA,NA,NA,NA,"","",""
"gene11896","gene11896","supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844","327342;328337;331309;337369;337519;337814;338789;349857;350158;350512;350641;351157","328032;328575;331397;337457;337746;338365;339136;350098;350246;350585;350874;352090","-;-;-;-;-;-;-;-;-;-;-;-",3809,"AAEL013432",NA,NA,NA,NA,NA,"","",""
"gene11897","gene11897","supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844","360258;361138;370587;393889;419792;422318;422683","361046;361409;370770;395689;419880;422593;422930","-;-;-;-;-;-;-",3659,"AAEL013430","FBpp0289512","FBgn0036742","CG7497","CG7497","EOG8N8TWN","","",""
"gene11898","gene11898","supercont1.844;supercont1.844;supercont1.844","21492;22549;22862","21959;22856;23006","-;-;-",921,"AAEL017189","FBpp0292905","FBgn0043456","CG4747","CG4747","EOG8XH2QQ","","",""
"gene11899","gene11899","supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844","35599;35841;36049;36700;37920;38143","35770;35989;36636;37038;38079;39472","+;+;+;+;+;+",2738,"AAEL013428",NA,NA,NA,NA,NA,"","",""
"gene119","gene119","supercont1.74;supercont1.74;supercont1.74;supercont1.74;supercont1.74","2236152;2239394;2239540;2239659;2239882","2236662;2239473;2239602;2239821;2242195","+;+;+;+;+",3131,"AAEL003002","FBpp0084555","FBgn0039523","CG12885","CG12885","EOG8CJZ7Q","","",""
"gene1190","gene1190","supercont1.745;supercont1.745;supercont1.745","145103;150686;196658","146014;150942;197826","-;-;-",2338,"AAEL012824","FBpp0087667","FBgn0015561","CG1650","unpg","EOG8T7BW1","","",""
"gene11900","gene11900","supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844","151018;192273;192581;200048;229656;229791;230026;230263;230489;230736;238773","152429;192394;192702;201339;229720;229969;230200;230424;230680;230913;241265","+;+;+;+;+;+;+;+;+;+;+",6392,"AAEL013431","FBpp0076903","FBgn0003423","CG1417","slgA","EOG886C41","","",""
"gene11901","gene11901","supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844;supercont1.844","50324;91060;97796;98180;98401;107833;120215;120907;122044;122383;140802;141726;142210","52061;91295;98123;98328;98504;107944;120845;121316;122317;122756;141665;142070;142913","+;+;+;+;+;+;+;+;+;+;+;+;+",6269,"AAEL017499","FBpp0089126","FBgn0004648","CG4122","svr","EOG837V53","","",""
"gene11902","gene11902","supercont1.980;supercont1.980","250892;251468","251408;251595","-;-",645,"AAEL014007",NA,NA,NA,NA,NA,"","",""
"gene11903","gene11903","supercont1.980;supercont1.980;supercont1.980;supercont1.980","118159;124957;125819;126130","118159;125756;126071;127581","-;-;-;-",2506,"AAEL014005",NA,NA,NA,NA,NA,"","",""
"gene11904","gene11904","supercont1.980;supercont1.980;supercont1.980;supercont1.980","131291;131894;132252;132567","131831;132192;132501;132673","-;-;-;-",1197,"AAEL014004",NA,NA,NA,NA,NA,"","",""
"gene11905","gene11905","supercont1.980;supercont1.980","275796;276416","276342;276693","+;+",825,"AAEL014006","FBpp0078591","FBgn0261434","CG9768","hkb","EOG89GP7W","","",""
"gene11906","gene11906","supercont1.20;supercont1.20","3085560;3086938","3086792;3087180","-;-",1476,"AAEL000991",NA,NA,NA,NA,NA,"","",""
"gene11907","gene11907","supercont1.20;supercont1.20","3700944;3713856","3701661;3714352","-;-",1215,"AAEL000982","FBpp0081787","FBgn0051390","CG31390","MED7","EOG8CJZ8K","","",""
"gene11908","gene11908","supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20","1248228;1249684;1249960;1269022;1269640;1287598;1296557;1296831;1297036;1297466","1248263;1249753;1250103;1269559;1269826;1287782;1296770;1296969;1297409;1299954","+;+;+;+;+;+;+;+;+;+",4376,"AAEL000993","FBpp0076310","FBgn0263930","CG4974","dally","EOG8M688Z","","",""
"gene11909","gene11909","supercont1.20;supercont1.20","2377100;2377806","2377746;2378032","-;-",874,"AAEL001012",NA,NA,NA,NA,NA,"","",""
"gene1191","gene1191","supercont1.745;supercont1.745;supercont1.745;supercont1.745;supercont1.745;supercont1.745;supercont1.745;supercont1.745;supercont1.745","28520;28968;29196;40413;40726;40888;41258;41496;49256","28908;29132;29482;40660;40826;41191;41373;42242;50604","+;+;+;+;+;+;+;+;+",3706,"AAEL012821","FBpp0297720","FBgn0029092","CG11804","ced-6","EOG8NS631","","",""
"gene11910","gene11910","supercont1.20;supercont1.20;supercont1.20;supercont1.20","3051316;3073386;3073593;3073782","3051846;3073528;3073602;3074228","+;+;+;+",1131,"AAEL000974",NA,NA,NA,NA,NA,"","",""
"gene11911","gene11911","supercont1.20;supercont1.20;supercont1.20","3614727;3622575;3622843","3616944;3622679;3623279","-;-;-",2760,"AAEL001005","FBpp0081581","FBgn0005585","CG9429","Calr","EOG8258JS","","",""
"gene11912","gene11912","supercont1.20","3087599","3088894","-",1296,"AAEL001003",NA,NA,NA,NA,NA,"","",""
"gene11913","gene11913","supercont1.20;supercont1.20;supercont1.20","3671753;3691406;3697251","3672484;3691559;3697577","-;-;-",1213,"AAEL016982",NA,NA,NA,NA,NA,"","",""
"gene11914","gene11914","supercont1.20;supercont1.20;supercont1.20;supercont1.20","2672255;2673169;2687427;2688415","2672956;2673370;2688328;2689834","+;+;+;+",3226,"AAEL018151","FBpp0088574","FBgn0016034","CG11254","mael","EOG8XSPFN","","",""
"gene11915","gene11915","supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20","2451131;2459127;2473427;2476069;2499446;2500424","2452420;2459537;2473463;2476178;2500296;2500676","-;-;-;-;-;-",2952,"AAEL001007","FBpp0073267","FBgn0003321","CG1664","sbr","EOG86Q9J5","","",""
"gene11916","gene11916","supercont1.20;supercont1.20","3039011;3051096","3039791;3051969","+;+",1655,"AAEL000980",NA,NA,NA,NA,NA,"","",""
"gene11917","gene11917","supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20","1313617;1320703;1419233;1433788;1456028;1456218;1457686;1473140;1473333;1473765;1474229;1474465;1482194;1482619","1314327;1321034;1419458;1433923;1456134;1456467;1459104;1473271;1473695;1474167;1474389;1474998;1482343;1483785","+;+;+;+;+;+;+;+;+;+;+;+;+;+",6091,"AAEL000984","FBpp0076487","FBgn0003041","CG8114","pbl","EOG837V55","","",""
"gene11918","gene11918","supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20","2699403;2718515;2734709;2735501;2764515;2772866","2701115;2718648;2735293;2735523;2765371;2772873","-;-;-;-;-;-",3320,"AAEL001000","FBpp0073521","FBgn0030421","CG3812","CG3812","EOG8CC6SC","","",""
"gene11919","gene11919","supercont1.20;supercont1.20;supercont1.20","477885;493110;493991","478591;493918;494396","-;-;-",1922,"AAEL001008","FBpp0085790-FBpp0086401-FBpp0071477","FBgn0034379-FBgn0034062-FBgn0001133","CG15073-CG8388-CG33133","CG15073-CG8388-grau","EOG89W55Z-EOG89W55Z-EOG89W55Z","","",""
"gene1192","gene1192","supercont1.745;supercont1.745;supercont1.745;supercont1.745","458304;462159;463432;464858","459446;463360;464800;465363","+;+;+;+",4220,"AAEL012825","FBpp0084087","FBgn0039241","CG11089","CG11089","EOG80KBQC","","",""
"gene11920","gene11920","supercont1.20;supercont1.20","2894045;2909699","2894226;2910459","-;-",943,"AAEL000995",NA,NA,NA,NA,NA,"","",""
"gene11921","gene11921","supercont1.20;supercont1.20","1306842;1308051","1307988;1309141","+;+",2238,"AAEL001011","FBpp0076485","FBgn0035825","CG8111","CG8111","EOG8FN78N","","",""
"gene11922","gene11922","supercont1.20","800129","800332","+",204,"AAEL000989",NA,NA,NA,NA,NA,"","",""
"gene11923","gene11923","supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20","2734097;2768873;2775972;2776383;2787063","2734135;2768908;2776190;2777069;2787529","+;+;+;+;+",1448,"AAEL000986","FBpp0070950","FBgn0029888","CG3192","ND-ASHI","EOG8HHRV1","","",""
"gene11924","gene11924","supercont1.20;supercont1.20","4118877;4119558","4119473;4119796","-;-",836,"AAEL000975",NA,NA,NA,NA,NA,"","",""
"gene11925","gene11925","supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20","1548308;1590263;1601563;1601830;1603956;1637471;1650062;1656544;1682153;1715366;1759393;1816172","1548826;1590719;1601754;1601978;1604117;1637586;1650225;1656739;1682275;1715513;1759685;1817245","+;+;+;+;+;+;+;+;+;+;+;+",3593,"AAEL018150","FBpp0072737","FBgn0035293","CG5687","CG5687","EOG80GGGF","","",""
"gene11926","gene11926","supercont1.20;supercont1.20","3005913;3006563","3006371;3008570","-;-",2467,"AAEL000988","FBpp0087973","FBgn0033225","CG1550","CG1550","EOG8616V9","","",""
"gene11927","gene11927","supercont1.20;supercont1.20","2871888;2873585","2873403;2874457","-;-",2389,"AAEL000978","FBpp0070205","FBgn0024364","CG11417","CG11417","EOG87SW5B","","",""
"gene11928","gene11928","supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20","3496254;3521489;3544265;3576823;3577090;3577299;3586617","3496811;3522399;3544534;3577024;3577201;3577779;3601328","+;+;+;+;+;+;+",17246,"AAEL001009","FBpp0302572","FBgn0027598","CG31012","cindr","EOG8ZW82J","","",""
"gene11929","gene11929","supercont1.20;supercont1.20","864155;864436","864377;865637","+;+",1425,"AAEL000979",NA,NA,NA,NA,NA,"","",""
"gene1193","gene1193","supercont1.745;supercont1.745;supercont1.745;supercont1.745","407956;418743;418891;419125","409703;418831;419056;419507","-;-;-;-",2386,"AAEL012820","FBpp0082370","FBgn0010340","CG9852","140up","EOG8QJVDG","","",""
"gene11930","gene11930","supercont1.20","3091026","3092321","-",1296,"AAEL000997",NA,NA,NA,NA,NA,"","",""
"gene11931","gene11931","supercont1.20;supercont1.20","2803057;2806273","2806198;2806688","-;-",3558,"AAEL000981",NA,NA,NA,NA,NA,"","",""
"gene11932","gene11932","supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20","2159267;2159762;2168630;2168817;2170217","2159284;2159972;2168741;2168992;2170278","+;+;+;+;+",579,"AAEL001010","FBpp0079594","FBgn0032233","CG13140","dpr19","EOG8577ZS","","",""
"gene11933","gene11933","supercont1.20;supercont1.20;supercont1.20","875598;875880;877865","875814;877803;881387","+;+;+",5664,"AAEL000999","FBpp0076312","FBgn0020633","CG4978","Mcm7","EOG8N8TW6","","",""
"gene11934","gene11934","supercont1.20;supercont1.20;supercont1.20","834840;851746;852339","836389;852038;852849","-;-;-",2354,"AAEL000985","FBpp0074972","FBgn0052177","CG32177","Ndfip","EOG8X0QJX","","",""
"gene11935","gene11935","supercont1.20;supercont1.20","918013;919015","918636;919212","-;-",822,"AAEL000998",NA,NA,NA,NA,NA,"","",""
"gene11936","gene11936","supercont1.20;supercont1.20;supercont1.20;supercont1.20","2999750;3000725;3000996;3001216","3000647;3000868;3001157;3003748","+;+;+;+",3737,"AAEL001013","FBpp0083897","FBgn0039135","CG13603","CG13603","EOG866ZCD","","",""
"gene11937","gene11937","supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20","3449011;3457306;3469115;3481717;3484957;3485126;3485473","3449921;3457684;3471095;3484684;3485065;3485304;3485761","-;-;-;-;-;-;-",6816,"AAEL000983","FBpp0083884","FBgn0039132","CG5864","AP-1sigma","EOG8QVG4R","","",""
"gene11938","gene11938","supercont1.20","2424342","2424959","+",618,"AAEL017422",NA,NA,NA,NA,NA,"","",""
"gene11939","gene11939","supercont1.20;supercont1.20","2820780;2839445","2822608;2839901","-;-",2286,"AAEL000996","FBpp0070227","FBgn0024360","CG11418","CG11418","EOG80KBQD","","",""
"gene1194","gene1194","supercont1.705;supercont1.705;supercont1.705","254329;254588;255916","254523;255855;256116","-;-;-",1664,"AAEL012520","FBpp0077624","FBgn0031308","CG4749","CG4749","EOG80VZF7","","",""
"gene11940","gene11940","supercont1.20","803540","809169","+",5630,"AAEL000977",NA,NA,NA,NA,NA,"","",""
"gene11941","gene11941","supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20;supercont1.20","522748;606912;690357;704887;733109;733266;734281;735012;741111;741929;754906;755482;796572;797404;799096;799338;807014","523782;607252;690548;705764;733264;734213;734932;735880;741867;742096;755367;756526;796893;797773;799272;800544;809170","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",11736,"AAEL000994","FBpp0303927","FBgn0259163","CG42268","CG42268","EOG86X20R","","",""
"gene11942","gene11942","supercont1.20","3089313","3090608","-",1296,"AAEL000976",NA,NA,NA,NA,NA,"","",""
"gene11943","gene11943","supercont1.20","2649056","2650361","+",1306,"AAEL017245",NA,NA,NA,NA,NA,"","",""
"gene11944","gene11944","supercont1.20;supercont1.20;supercont1.20;supercont1.20","817490;817898;819563;820008","817540;818732;819712;820161","-;-;-;-",1190,"AAEL000987","FBpp0072801","FBgn0261602","CG1263","RpL8","EOG8DZ4MK","","",""
